f	h(f)
0.045	0
0.1775	0
0.31	0
0.4425	0
0.54455	0
0.677230867346939	-0.024533105657888
0.809911734693877	-0.0337066984882108
0.942592602040816	-0.0428521455200701
1.07527346938776	-0.0454639902600504
1.20795433673469	-0.0543490506077919
1.34063520408163	-0.0819072860777761
1.47331607142857	-0.095357023521312
1.60599693877551	-0.107456717635934
1.73867780612245	-0.116487863617868
1.87135867346939	-0.128502356731262
2.00403954081633	-0.135442858335768
2.13672040816327	-0.149249946685691
2.2694012755102	-0.165536118830417
2.40208214285714	-0.191004574707237
2.53476301020408	-0.21967037241497
2.66744387755102	-0.236645832906555
2.80012474489796	-0.281663865630905
2.9328056122449	-0.297638790276964
3.06548647959184	-0.332810535154905
3.19816734693878	-0.357751235404722
3.33084821428572	-0.385082217464289
3.46352908163265	-0.400713943872342
3.59620994897959	-0.415496263024069
3.72889081632653	-0.421608820789323
3.86157168367347	-0.445040193354632
3.99425255102041	-0.467649996098121
4.12693341836735	-0.487056350282397
4.25961428571429	-0.526539163012426
4.39229515306123	-0.549512000871805
4.52497602040816	-0.568944121385165
4.6576568877551	-0.579017339231227
4.79033775510204	-0.581727931063059
4.92301862244898	-0.569274511139413
5.05569948979592	-0.561513742186335
5.18838035714286	-0.533354324892402
5.3210612244898	-0.488597218684775
5.45374209183674	-0.447917646955729
5.58642295918368	-0.394646322394644
5.71910382653061	-0.354053366063742
5.85178469387755	-0.334072694911543
5.98446556122449	-0.3168580400824
6.11714642857143	-0.322307572410885
6.24982729591837	-0.334665831573518
6.38250816326531	-0.351574849047408
6.51518903061225	-0.364036207840322
6.64786989795919	-0.404596591943362
6.78055076530613	-0.410041063396445
6.91323163265306	-0.440175265802693
7.0459125	-0.467301369622661
7.17859336734694	-0.477721140637186
7.31127423469388	-0.512309027070078
7.44395510204082	-0.521540129744934
7.57663596938776	-0.532742539258394
7.7093168367347	-0.554535196134481
7.84199770408164	-0.574413151779867
7.97467857142857	-0.57211216942391
8.10735943877551	-0.578583511986094
8.24004030612245	-0.578969178619329
8.37272117346939	-0.57249960703429
8.50540204081633	-0.573059509515298
8.63808290816326	-0.56089493586963
8.7707637755102	-0.55301817562684
8.90344464285714	-0.556092247644308
9.03612551020408	-0.531766833009096
9.16880637755102	-0.529647659079702
9.30148724489795	-0.539919596572425
9.43416811224489	-0.541867932092148
9.56684897959183	-0.547793694805733
9.69952984693877	-0.550144675145795
9.83221071428571	-0.546625149362998
9.96489158163264	-0.55605095695963
10.0975724489796	-0.556714031179899
10.2302533163265	-0.554793842269062
10.3629341836735	-0.558308547075837
10.4956150510204	-0.561561158322898
10.6282959183673	-0.563886458247933
10.7609767857143	-0.567546989660694
10.8936576530612	-0.568623156533125
11.0263385204081	-0.583446397118016
11.1590193877551	-0.583703104596382
11.291700255102	-0.598027285298605
11.424381122449	-0.599863145594503
11.5570619897959	-0.605411435347732
11.6897428571428	-0.603564018367958
11.8224237244898	-0.609606159277637
11.9551045918367	-0.609246234057997
12.0877854591837	-0.616731150352051
12.2204663265306	-0.619327831855608
12.3531471938775	-0.61961380575518
12.4858280612245	-0.619056207040418
12.6185089285714	-0.617263829928365
12.7511897959183	-0.610025708070122
12.8838706632653	-0.61478557121695
13.0165515306122	-0.610280977451545
13.1492323979592	-0.615144070820676
13.2819132653061	-0.608485247361607
13.414594132653	-0.603121098474344
13.547275	-0.592193547933137
13.6799558673469	-0.597618050225616
13.8126367346938	-0.583599501805908
13.9453176020408	-0.591807119710598
14.0779984693877	-0.588190686568932
14.2106793367347	-0.588243264885336
14.3433602040816	-0.587338499782457
14.4760410714285	-0.582541918522387
14.6087219387755	-0.585947937774606
14.7414028061224	-0.587847921589636
